q0,qn,qpof,qdpo,p0,pmin,alpha,beta,resistiance,viscosity,diffusion,R,r ,themal,rotation,growth
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.01003
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00735
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00682
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00665
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00663
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00672
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00686
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00708
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.01003
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.0066
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.0063
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.00625
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.00636
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.00654
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.00677
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.0000001,0,0.00705
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.0062
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.00435
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.00394
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.00381
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.003795
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.003875
0.7,3.2,1,4,0.6,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.00401
0.7,3.2,1,4,0.7,0,0.25,0.78,0.000025,0.0001,0.000001,1.65,0.4,0.000025,0,0.00427
0.7,3.2,1,4,0,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.011885
0.7,3.2,1,4,0.1,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.0074
0.7,3.2,1,4,0.2,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00684
0.7,3.2,1,4,0.3,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00686
0.7,3.2,1,4,0.4,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00702
0.7,3.2,1,4,0.5,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00735
0.7,3.2,1,4,0.6,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00775
0.7,3.2,1,4,0.7,0,0.25,0.78,0.0001,0.000025,0.000001,1.65,0.4,0.000025,0,0.00822
0.7,3.2,1,4,0,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.01003
0.7,3.2,1,4,0.101,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00728
0.7,3.2,1,4,0.201,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00665
0.7,3.2,1,4,0.301,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00635
0.7,3.2,1,4,0.401,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00618
0.7,3.2,1,4,0.501,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00606
0.7,3.2,1,4,0.601,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.00597
0.7,3.2,1,4,0.701,0,-0.75,0.78,0.000025,0.000025,0.000001,1.65,0.4,0.000025,0,0.005905
0.7,3.2,1,4,0,0,0.25,0.78,0.000025,0.000025,0.0001,1.65,0.4,0.000025,0,0.01003
0.7,3.2,1,4,0.1,0,0.25,0.78,0.000025,0.000025,0.0001,1.65,0.4,0.000025,0,0.00735
0.7,3.2,1,4,0.2,0,0.25,0.78,0.000025,0.000025,0.0001,1.65,0.4,0.000025,0,0.00682
0.7,3.2,1,4,0.3,0,0.25,0.78,0.000025,0.000025,0.0001,1.65,0.4,0.000025,0,0.00665
0.7,3.2,1,4,0.4,0,0.25,0.78,0.000025,0.000025,0.0001,1.65,0.4,0.000025,0,0.00663
0.7,3.2,1,4,0.5,0,0.25,0.78,0.000025,0.000025,0.0001,1.65,0.4,0.000025,0,0.00671
